sku,color,barcode
2012591,SILVER,11214
2012591,GOLD,11215
3017779,GOLD,11216
3017779,SILVER,11217
3017779,ROSEGOLD,11218
6012282,GOLD,11219
6012282,GOLD,11220
6012282,GOLD,11221
6012282,GOLD,11222
2012592,GOLD,11223
2012592,SILVER,11224
2012593,GOLD,11225
2012593,GOLD,11226
2012593,GOLD,11227
2012594,,11228
2012594,,11229
2012594,,11230
2012594,,11231
6012283,,11232
6012283,,11233
6012283,,11234
6012283,,11235
6012284,,11236
6012284,,11237
3017780,,11238
3017781,,11239
6012285,,11240
6012285,,11241
6012285,,11242
6012285,,11243
6012285,,11244
6012285,,11245
6012285,,11246
6012285,,11247
2012595,,11248
2012595,,11249
2012595,,11250
2012595,,11251
4012445,,11252
4012445,,11253
4012446,,11254
4012446,,11255
3017782,,11256
3017782,,11257
5012302,,11258
3017783,,11259
2012596,,11260
2012596,,11261
2012596,,11262
2012596,,11263
3017784,,11264
5012597,,11265
2012598,,11266
2012599,,11267
2012599,,11268
5012303,,11269
2012600,,11270
2012600,,11271
2012600,,11272
3017785,,11273
3017785,,11274
3017785,,11275
2012609,,11276
2012609,,11277
2012609,,11278
3017786,,11279
3017787,,11280
4012447,,11281
3017788,,11282
3017789,,11283
3017790,,11284
3017791,,11285
3017791,,11286
3017792,,11287
6012286,,11288
6012286,,11289
6012286,,11290
6012286,,11291
2012601,,11292
3017793,,11293
3017794,,11294
3017808,,11295
3017795,,11296
3017795,,11297
6012287,,11298
6012287,,11299
6012287,,11300
6012287,,11301
6012287,,11302
6012287,,11303
4012448,,11304
6012288,,11305
6012288,,11306
6012288,,11307
6012288,,11308
6012288,,11309
6012288,,11310
6012288,,11311
6012288,,11312
6012288,,11313
2012602,,11314
2012602,,11315
3017796,,11316
3017796,,11317
3017796,,11318
3017796,,11319
3017796,,11320
3017797,,11321
3017797,,11322
3017797,,11323
3017797,,11324
3017798,,11325
3017799,,11326
3017799,,11327
3017799,,11328
3017800,,11329
3017800,,11330
3017800,,11331
3017800,,11332
3017800,,11333
3017800,,11334
3017801,,11335
3017801,,11336
3017801,,11337
3017801,,11338
3017802,,11339
3017803,,11340
3017803,,11341
4012449,,11342
4012449,,11343
4012450,,11344
4012450,,11345
4012450,,11346
4012451,,11347
6012289,,11348
6012289,,11349
6012289,,11350
4012452,,11351
6012290,,11352
6012290,,11353
6012290,,11354
3017804,,11355
3017804,,11356
3017804,,11357
4012453,,11358
3017805,,11359
5012304,,11360
5012304,,11361
5012304,,11362
5012305,,11363
5012305,,11364
5012305,,11365
3017805,,11366
5012306,,11367
5012306,,11368
5012306,,11369
5012307,,11370
5012307,,11371
5012307,,11372
5012308,,11373
5012308,,11374
5012308,,11375
5012309,,11376
5012309,,11377
5012309,,11378
4012454,,11379
4012454,,11380
2012602,,11381
2012602,,11382
2012602,,11383
2012602,,11384
4012455,,11385
4012455,,11386
4012455,,11387
4012456,,11388
4012457,,11389
4012458,,11390
4012458,,11391
3017806,,11392
4012459,,11393
2012603,,11394
